,AnimalID,Date,OutcomeType,AnimalType,SexuponOutcome,Color,AgeOutcomeDays
0,A671945,2014-02-12,Return_to_owner,Dog,Neutered Male,Brownish,365
1,A656520,2013-10-13,Euthanasia,Cat,Spayed Female,Other,365
2,A686464,2015-01-31,Adoption,Dog,Neutered Male,Blueish,730
3,A683430,2014-07-11,Transfer,Cat,Intact Male,Blueish,21
4,A667013,2013-11-15,Transfer,Dog,Neutered Male,Brownish,730
5,A677334,2014-04-25,Transfer,Dog,Intact Female,Blackish,30
6,A699218,2015-03-28,Transfer,Cat,Intact Male,Blueish,21
7,A701489,2015-04-30,Transfer,Cat,Unknown,Brownish,21
8,A671784,2014-02-04,Adoption,Dog,Spayed Female,Other,150
9,A677747,2014-05-03,Adoption,Dog,Spayed Female,Whitish,365
10,A668402,2013-12-05,Transfer,Cat,Unknown,Blackish,730
11,A666320,2013-11-04,Adoption,Dog,Spayed Female,Other,730
12,A684601,2016-02-03,Adoption,Dog,Neutered Male,Brownish,1460
13,A704702,2015-06-08,Return_to_owner,Dog,Neutered Male,Blackish,730
14,A688584,2015-11-25,Return_to_owner,Dog,Neutered Male,Whitish,365
15,A678825,2014-07-12,Adoption,Cat,Neutered Male,Orangeish,90
16,A678050,2014-05-03,Transfer,Cat,Intact Male,Brownish,21
17,A680028,2014-06-07,Transfer,Dog,Intact Female,Brownish,14
18,A679010,2014-05-17,Transfer,Cat,Intact Female,Whitish,730
19,A684787,2014-07-30,Return_to_owner,Dog,Neutered Male,Blackish,365
20,A670658,2014-01-19,Transfer,Dog,Intact Male,Blackish,60
21,A708812,2015-09-18,Transfer,Cat,Spayed Female,Whitish,365
22,A705262,2015-08-15,Adoption,Dog,Spayed Female,Brownish,730
23,A665781,2013-10-28,Adoption,Dog,Neutered Male,Brownish,300
24,A676333,2014-04-09,Return_to_owner,Dog,Neutered Male,Blackish,60
25,A712750,2015-10-03,Transfer,Cat,Intact Female,Orangeish,30
26,A718832,2016-01-15,Adoption,Dog,Spayed Female,Brownish,180
27,A698777,2015-03-25,Adoption,Dog,Spayed Female,Whitish,1825
28,A715348,2015-11-21,Adoption,Cat,Spayed Female,Other,60
29,A708666,2015-07-30,Return_to_owner,Cat,Neutered Male,Blueish,2555
