,AnimalID,Date,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
0,A671945,2014-02-12,Return_to_owner,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
1,A656520,2013-10-13,Euthanasia,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
2,A686464,2015-01-31,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
3,A683430,2014-07-11,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
4,A667013,2013-11-15,Transfer,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
5,A677334,2014-04-25,Transfer,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
6,A699218,2015-03-28,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
7,A701489,2015-04-30,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
8,A671784,2014-02-04,Adoption,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
9,A677747,2014-05-03,Adoption,Dog,Spayed Female,1 year,Cairn Terrier,White
10,A668402,2013-12-05,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
11,A666320,2013-11-04,Adoption,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
12,A684601,2016-02-03,Adoption,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
13,A704702,2015-06-08,Return_to_owner,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
14,A688584,2015-11-25,Return_to_owner,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
15,A678825,2014-07-12,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
16,A678050,2014-05-03,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
17,A680028,2014-06-07,Transfer,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
18,A679010,2014-05-17,Transfer,Cat,Intact Female,2 years,Angora Mix,White
19,A684787,2014-07-30,Return_to_owner,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
20,A670658,2014-01-19,Transfer,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
21,A708812,2015-09-18,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
22,A705262,2015-08-15,Adoption,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
23,A665781,2013-10-28,Adoption,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
24,A676333,2014-04-09,Return_to_owner,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
25,A712750,2015-10-03,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
